time,weight,,,,
24.400969,-0.8,,,,
24.496144,-0.8,,,,
24.609426,-0.8,,,,
24.705111,-0.8,,,,
24.817502,-0.8,,,,
24.929076,-0.8,,,,
25.04167,-0.8,,,,
25.137702,-0.8,,,,
25.249165,-0.6,,,,
25.345438,-0.6,,,,
25.441695,-0.6,,,,
25.55391,-0.6,,,,
25.649193,-0.6,,,,
25.762044,-0.6,,,,
25.858084,-0.6,,,,
25.969159,-0.6,,,,
26.066314,-0.7,,,,
26.178172,-0.7,,,,
26.274277,-0.7,,,,
26.386461,-0.7,,,,
26.482473,-0.7,,,,
26.594243,-0.7,,,,
26.690414,-0.7,,,,
26.802634,-0.8,,,,
26.89887,-0.8,,,,
27.010114,-0.8,,,,
27.106922,-0.8,,,,
27.218993,-0.8,,,,
27.314697,-0.8,,,,
27.426906,-0.8,,,,
27.523276,-0.8,,,,
27.635097,-0.8,,,,
27.73133,-0.7,,,,
27.84324,-0.7,,,,
27.939121,-0.7,,,,
28.051482,-0.7,,,,
28.14767,-0.7,,,,
28.259527,-0.7,,,,
28.355549,-0.7,,,,
28.467688,-0.7,,,,
28.563689,-0.7,,,,
28.676314,-0.7,,,,
28.771955,-0.7,,,,
28.884232,-0.7,,,,
28.97964,-0.7,,,,
29.092173,-0.8,,,,
29.187628,-0.8,,,,
29.300266,-0.8,,,,
29.412446,-0.7,,,,
29.507952,-0.7,,,,
29.620409,-0.7,,,,
29.716687,-0.7,,,,
29.828864,-0.7,,,,
29.924166,-0.7,,,,
30.036724,-0.7,,,,
30.132991,-0.7,,,,
30.244417,-0.7,,,,
30.340937,-0.6,,,,
30.453017,-0.6,,,,
30.54924,-0.7,,,,
30.661312,-0.7,,,,
30.757306,-0.7,,,,
30.869185,-0.7,,,,
30.965447,-0.7,,,,
31.077098,-0.7,,,,
31.173596,-0.7,,,,
31.285598,-0.7,,,,
31.381634,-0.7,,,,
31.492707,-0.7,,,,
31.589192,-0.7,,,,
31.70199,-0.8,,,,
31.797565,-0.7,,,,
31.909146,-0.8,,,,
